city_id	city_name	state_code	country_code	lat	lon
735563	Kozáni	ESYE13	GR	40.30069	21.78896
735640	Komotiní	ESYE11	GR	41.11917	25.40535
2995041	Maurepas	11	FR	48.76486	1.92923
2996180	Manosque	93	FR	43.82883	5.78688
3000192	Les Mureaux	11	FR	48.99173	1.90972
735736	Kilkís	ESYE12	GR	40.99302	22.87433
3004427	Le Creusot	27	FR	46.80714	4.41632
3019256	Évry	11	FR	48.63333	2.45
3019265	Évreux	28	FR	49.02414	1.15082
3021411	Dieppe	28	FR	49.93333	1.08333
3022530	Créteil	11	FR	48.78333	2.46667
3029241	Caen	28	FR	49.18585	-0.35912
3029276	Cachan	11	FR	48.79632	2.33661
3030300	Brest	53	FR	48.4	-4.48333
3030303	Bressuire	75	FR	46.85	-0.48333
3035654	Avon	11	FR	48.40219	2.72022
3035667	Avion	32	FR	50.41038	2.83053
3037854	Amiens	32	FR	49.9	2.3
3108165	Teo	58	ES	42.75	-8.5
2509305	Zubia	51	ES	37.11906	-3.584
2509377	Zafra	57	ES	38.41667	-6.41667
2509402	Yecla	31	ES	38.61365	-1.11468
2509463	Villena	60	ES	38.6373	-0.86568
2509491	Villarrobledo	54	ES	39.26992	-2.60119
2509509	Vila-real	60	ES	39.9383	-0.10087
2509553	Villanueva de la Serena	57	ES	38.97655	-5.7974
2509588	Villajoyosa	60	ES	38.50754	-0.23346
2509650	Vícar	51	ES	36.83155	-2.64273
2509769	Vélez-Málaga	51	ES	36.78107	-4.10266
2509954	Valencia	60	ES	39.46975	-0.37739
2509982	Valdepeñas	54	ES	38.76211	-3.38483
2510073	Utrera	51	ES	37.18516	-5.78093
2510112	Ubrique	51	ES	36.67777	-5.446
2510116	Úbeda	51	ES	38.01328	-3.3705
2510224	Totana	31	ES	37.7688	-1.50229
2510245	Torrox	51	ES	36.75793	-3.95233
2510253	Torrevieja	60	ES	37.97872	-0.68222
2510271	Torre-Pacheco	31	ES	37.74293	-0.95396
2510279	Torrent	60	ES	39.43705	-0.46546
2510281	Torremolinos	51	ES	36.62035	-4.49976
1185188	Rangpur	87	BD	25.74664	89.25166
1337248	Sherpur	H	BD	25.01881	90.01751
2994087	Meylan	84	FR	45.21988	5.79007
2995121	Mauguio	76	FR	43.6181	4.00739
735861	Kavála	ESYE11	GR	40.93959	24.40687
2995150	Maubeuge	32	FR	50.27875	3.97267
2995206	Massy	11	FR	48.72692	2.28301
2967438	Wasquehal	32	FR	50.67043	3.13382
2970110	Vendôme	24	FR	47.8	1.06667
2998286	Limoges	75	FR	45.83153	1.25781
2972049	Trappes	11	FR	48.77413	2.01781
3010025	La Ciotat	93	FR	43.17476	5.60449
3012937	Hyères	93	FR	43.11954	6.13897
3040051	les Escaldes	8	AD	42.50729	1.53414
3041563	Andorra la Vella	7	AD	42.50779	1.52109
290594	Umm al Qaywayn	7	AE	25.56473	55.55517
291074	Ras al-Khaimah	5	AE	25.78953	55.9432
291696	Khawr Fakkān	6	AE	25.33132	56.34199
292223	Dubai	3	AE	25.0657	55.17128
292231	Dibba Al-Fujairah	4	AE	25.59246	56.26176
292672	Sharjah	6	AE	25.33737	55.41206
292688	Ar Ruways	1	AE	24.11028	52.73056
292878	Al Fujayrah	4	AE	25.11641	56.34141
292913	Al Ain	1	AE	24.19167	55.76056
292932	Ajman	2	AE	25.41111	55.43504
292953	Adh Dhayd	6	AE	25.28812	55.88157
292968	Abu Dhabi	1	AE	24.46667	54.36667
1120985	Zaranj	19	AF	30.95962	61.86037
1123004	Taloqan	26	AF	36.73605	69.53451
1125155	Shīnḏanḏ	11	AF	33.30294	62.1474
1125444	Shibirghān	31	AF	36.66757	65.7529
1125896	Shahrak	9	AF	34.10737	64.3052
1127110	Sar-e Pul	33	AF	36.21544	65.93249
1127628	Sang-e Chārak	33	AF	35.84972	66.43694
1127768	Aībak	32	AF	36.26468	68.01551
1128265	Rustāq	26	AF	37.12604	69.83045
1129516	Qarqīn	31	AF	37.41853	66.04358
1129648	Qarāwul	24	AF	37.21959	68.7802
1130490	Pul-e Khumrī	3	AF	35.94458	68.71512
1131316	Paghmān	13	AF	34.58787	68.95091
1132495	Nahrīn	3	AF	36.0649	69.13343
1133453	Maymana	7	AF	35.92139	64.78361
1133574	Mehtar Lām	35	AF	34.67139	70.20944
1133616	Mazār-e Sharīf	30	AF	36.70904	67.11087
1134720	Lashkar Gāh	10	AF	31.59382	64.37161
1135158	Kushk	11	AF	33.29565	61.95221
1135689	Kunduz	24	AF	36.72895	68.857
1136469	Khōst	37	AF	33.33951	69.92041
1136575	Khulm	30	AF	36.69736	67.69826
1136863	Khāsh	19	AF	31.52919	62.79055
1137168	Khanabad	24	AF	36.6825	69.11556
1137807	Karukh	11	AF	34.48108	62.5863
1138336	Kandahār	23	AF	31.61332	65.71013
1138958	Kabul	13	AF	34.52813	69.17233
1139715	Jalālābād	18	AF	34.42647	70.45153
1139807	Jabal os Saraj	40	AF	35.11833	69.23778
1140026	Herāt	11	AF	34.34817	62.19967
1141089	Ghormach	2	AF	35.73062	63.78264
1141269	Ghazni	8	AF	33.55391	68.42096
1141540	Gereshk	10	AF	31.82089	64.57005
1141857	Gardez	36	AF	33.59744	69.22592
1142170	Fayzabad	1	AF	37.11664	70.58002
1142264	Farah	6	AF	32.37451	62.11638
1142404	Kafir Qala	11	AF	34.66667	61.06667
1145352	Charikar	40	AF	35.01361	69.17139
1147066	Baraki Barak	17	AF	33.96744	68.9492
1147242	Bāmyān	5	AF	34.82156	67.82734
1147290	Balkh	30	AF	36.75635	66.8972
1147540	Baghlān	3	AF	36.13068	68.70829
1148106	Ārt Khwājah	26	AF	37.08571	69.47958
1148205	Āsmār	34	AF	35.03333	71.35809
1148311	Asadābād	34	AF	34.87311	71.14697
1148658	Andkhōy	7	AF	36.95293	65.12376
1429434	Bāzārak	42	AF	35.31292	69.51519
1469706	Markaz-e Woluswalī-ye Āchīn	18	AF	34.12583	70.70778
3576022	Saint John’s	4	AG	17.11717	-61.84573
3573374	The Valley	11205396	AI	18.21704	-63.05783
363243	Sarandë	51	AL	39.87556	20.00528
782661	Kukës	47	AL	42.07694	20.42194
782756	Korçë	46	AL	40.61861	20.78083
783148	Gjirokastër	45	AL	40.07583	20.13889
783263	Elbasan	43	AL	41.1125	20.08222
783493	Burrel	41	AL	41.61028	20.00889
3183719	Vlorë	51	AL	40.46667	19.48972
3183875	Tirana	50	AL	41.3275	19.81889
3184081	Shkodër	49	AL	42.06828	19.51258
3184517	Patos Fshat	44	AL	40.64278	19.65083
3184862	Lushnjë	44	AL	40.94194	19.705
3184935	Lezhë	48	AL	41.78361	19.64361
3185012	Laç	48	AL	41.63556	19.71306
3185060	Kuçovë	40	AL	40.80028	19.91667
3185082	Krujë	42	AL	41.50917	19.79278
3185211	Kavajë	50	AL	41.18556	19.55694
3185670	Fier-Çifçi	44	AL	40.71667	19.56667
3185672	Fier	44	AL	40.72389	19.55611
3185728	Durrës	42	AL	41.32306	19.44139
3186084	Berat	40	AL	40.70583	19.95222
174875	Kapan	8	AM	39.20755	46.40576
174895	Goris	8	AM	39.51111	46.34168
174972	Hats’avan	8	AM	39.46405	45.97047
174979	Artashat	2	AM	39.96144	44.54447
174991	Ararat	2	AM	39.83069	44.70569
616052	Yerevan	11	AM	40.18111	44.51361
616062	Ejmiatsin	3	AM	40.16557	44.29462
616194	Step’anavan	6	AM	41.00995	44.38531
616199	Spitak	6	AM	40.83221	44.26731
616250	Sevan	4	AM	40.5473	44.94171
616435	Masis	2	AM	40.06542	44.41618
616530	Vanadzor	6	AM	40.80456	44.4939
616599	Gavarr	4	AM	40.35398	45.12386
616629	Hrazdan	5	AM	40.49748	44.7662
616631	Armavir	3	AM	40.15446	44.03815
616635	Gyumri	7	AM	40.7942	43.84528
616877	Ashtarak	1	AM	40.2991	44.36204
617026	Abovyan	5	AM	40.27368	44.63348
145531	Saurimo	18	AO	-9.66078	20.39155
145724	Lucapa	17	AO	-8.41915	20.74466
